	网络目标         网络掩码          	 网关       	   接口 跃点数		网络号
         0.0.0.0          0.0.0.0      	  192.168.1.1       192.168.1.2    281		0.0.0.0			不能确定网络号的都默认为0.0.0.0
       127.0.0.0        255.0.0.0            在链路上         127.0.0.1    306		127.0.0.0		对于发向网络号为127.0.0.0的数据包，通过127.0.0.1发送出去
       127.0.0.1  255.255.255.255            在链路上         127.0.0.1    306		127.0.0.1		类似
 127.255.255.255  255.255.255.255            在链路上         127.0.0.1    306		127.255.255.255		这个是127.0.0.0网络上的广播包，发给127.0.0.1
     192.168.1.0    255.255.255.0            在链路上       192.168.1.2    281		192.168.1.0		发给192.168.1.0网络的包，通过接口192.168.1.2发出
     192.168.1.2  255.255.255.255            在链路上       192.168.1.2    281		192.168.1.2		目标为192.168.1.2的包，通过接口192.168.1.2发出
   192.168.1.255  255.255.255.255            在链路上       192.168.1.2    281		192.168.1.255		广播
       224.0.0.0        240.0.0.0            在链路上         127.0.0.1    306		224.0.0.0		地址224.0.0.0保留不做分配，其它地址供路由协议使用
       224.0.0.0        240.0.0.0            在链路上       192.168.1.2    281		224.0.0.0		地址224.0.0.0保留不做分配，其它地址供路由协议使用
 255.255.255.255  255.255.255.255            在链路上         127.0.0.1    306		255.255.255.255		239.255.255.255为本地管理组播地址
 255.255.255.255  255.255.255.255            在链路上       192.168.1.2    281		255.255.255.255		239.255.255.255为本地管理组播地址
